Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
East Renfrewshire,Barrhead Foundry Library,Main Street,,Barrhead,G78 1SW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/foundry-library,
East Renfrewshire,Busby Library,Main Street,,Busby,G76 8DX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/busbylibrary,
East Renfrewshire,Clarkston Library,Clarkston Road,,Clarkston,G76 8NE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/clarkstonlibrary,
East Renfrewshire,Eaglesham Library,Montgomerie Hall,,Eaglesham,G76 0LH,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/eagleshamlibrary,
East Renfrewshire,Giffnock Library,Station Road,,Giffnock,G46 6JF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/giffnocklibrary,
East Renfrewshire,Mearns Library,Mackinlay Place,,Newton Mearns,G77 6EZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/mearnslibrary,
East Renfrewshire,Neilston Library,Main Street,,Neilston,G78 3NN,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/neilstonlibrary,
East Renfrewshire,Netherlee Library,Netherlee Pavilion,,Linn Park Avenue,G44 3PG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/netherleelibrary,
East Renfrewshire,Thornliebank Library,1 Spiersbridge Road,,Thornliebank,G46 7JS,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/thornliebanklibrary,
East Renfrewshire,Uplawmoor Library,Mure Hall,,Tannoch Road,G78 4AD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.ercultureandleisure.org/uplawmoorlibrary,
