Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Kirklees,Almondbury Library,Farfield Road,Huddersfield,West Yorkshire,HD5 8TD,,Yes,LAL,,,13:00-17:00,10:00-13:00,00:00-00:00,14:00-19:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Children's Centre,Relocated to a modern building and refurbished to be dementia friendly,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Batley Library,Market Place,Batley,West Yorkshire,WF17 5DA,,Yes,LAL,,,10:00-19:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Art Gallery,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Birkby & Fartown Library,Wasp Nest Road,Huddersfield,West Yorkshire,HD1 6HA,,No,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,Plans to reopen with a new build,https://www.kirklees.gov.uk/Libraries,
Kirklees,Birstall Library,Market Street,Batley,West Yorkshire,WF17 9EN,,No,CL,,,10:00-13:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-13:00,09:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Chestnut Centre Library,"The Chestnut Centre, Chestnut Street",Huddersfield,West Yorkshire,HD2 1HJ,,No,CL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Local Services to You,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Cleckheaton Library,Whitcliffe Road,Cleckheaton,West Yorkshire,BD19 3DX,83098217,Yes,LAL,,,10:00-19:00,10:00-17:00,00:00-00:00,10:00-19:00,10:00-15:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Denby Dale Library,Wakefield Road,Huddersfield,West Yorkshire,HD8 8RX,,No,CL,,,10:00-18:00,10:00-16:00,10:00-17:00,10:00-16:00,10:00-16:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,"Kirkwood Hospice, Community Cafe",,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Dewsbury Library,Railway Street,Dewsbury,West Yorkshire,WF12 8EQ,,Yes,LAL,,,09:30-17:00,09:30-19:30,09:30-17:00,09:30-19:30,09:30-17:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Careers Service,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Golcar Library,12 - 14 Town End,Huddersfield,West Yorkshire,HD7 4QD,,Yes,LAL,,,13:00-18:00,10:00-13:00,00:00-00:00,13:00-17:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees,Heckmondwike Library,Walkley Lane,Heckmondwike,West Yorkshire,WF16 0LY,83128318,Yes,LAL,,,10:00-13:00,10:00-19:00,00:00-00:00,10:00-17:00,13:00-19:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
